"total","|","id","title","year","mpaa_rating","runtime","critics_consensus","release_dates__theater","release_dates__dvd","ratings__critics_rating","ratings__critics_score","ratings__audience_rating","ratings__audience_score","synopsis","posters__thumbnail","posters__profile","posters__detailed","posters__original","abridged_cast__name","abridged_cast__id","abridged_cast__characters-","alternate_ids__imdb","links__self","links__alternate","links__cast","links__reviews","links__similar","link_template","self","alternate"
"","","","","","","","","","","","","","","","","","","","Boris Kodjoe","162654424","Jason Reynard","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Tasha Smith","462957582","Dr. Marcella Spencer","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Tyson Beckford","359854455","Corey","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Emayatzy E. Corinealdi","770699016","Brina","","","","","","","","",""
"","","771373588","Predestination","2015","R","97","","2015-01-09","2015-02-10","Certified Fresh","84","Upright","74","PREDESTINATION chronicles the life of a Temporal Agent (Ethan Hawke) sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost. (C) Vertical","http://resizing.flixster.com/Z9zqzkm5ny-0tF64vzLT97ersWk=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/16/11181651_ori.jpg","http://resizing.flixster.com/Z9zqzkm5ny-0tF64vzLT97ersWk=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/16/11181651_ori.jpg","http://resizing.flixster.com/Z9zqzkm5ny-0tF64vzLT97ersWk=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/16/11181651_ori.jpg","http://resizing.flixster.com/Z9zqzkm5ny-0tF64vzLT97ersWk=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/16/11181651_ori.jpg","Ethan Hawke","162660464","The Bartender","2397535","http://api.rottentomatoes.com/api/public/v1.0/movies/771373588.json","http://www.rottentomatoes.com/m/predestination/","http://api.rottentomatoes.com/api/public/v1.0/movies/771373588/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771373588/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771373588/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Sarah Snook","771102518","The Unmarried Mother","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Noah Taylor","162708662","Mr. Robertson","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Christopher Kirby","770803793","Agent Miles","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Madeleine West","770770378","Mrs. Stapleton","","","","","","","","",""
"","","771359639","Kill the Messenger","2014","R","112","","2014-10-10","2015-02-10","Certified Fresh","78","Upright","72","Two-time Academy Award nominee Jeremy Renner (""The Bourne Legacy"") leads an all-star cast in a dramatic thriller based on the remarkable true story of Pulitzer Prize-winning journalist Gary Webb. Webb stumbles onto a story which leads to the shady origins of the men who started the crack epidemic on the nation's streets...and further alleges that the CIA was aware of major dealers who were smuggling cocaine into the U.S., and using the profits to arm rebels fighting in Nicaragua. Despite warnings from drug kingpins and CIA operatives to stop his investigation, Webb keeps digging to uncover a conspiracy with explosive implications. His journey takes him from the prisons of California to the villages of Nicaragua to the highest corridors of power in Washington, D.C. - and draws the kind of attention that threatens not just his career, but his family and his life. (c) Focus","http://resizing.flixster.com/1DY6tXpciI6-wW0XZ0Q8He_M_TA=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/95/11189591_ori.jpg","http://resizing.flixster.com/1DY6tXpciI6-wW0XZ0Q8He_M_TA=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/95/11189591_ori.jpg","http://resizing.flixster.com/1DY6tXpciI6-wW0XZ0Q8He_M_TA=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/95/11189591_ori.jpg","http://resizing.flixster.com/1DY6tXpciI6-wW0XZ0Q8He_M_TA=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/95/11189591_ori.jpg","Jeremy Renner","309973652","Gary Webb","1216491","http://api.rottentomatoes.com/api/public/v1.0/movies/771359639.json","http://www.rottentomatoes.com/m/kill_the_messenger_2015/","http://api.rottentomatoes.com/api/public/v1.0/movies/771359639/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771359639/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771359639/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Rosemarie DeWitt","356196984","Sue Webb","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ray Liotta","162669095","John Cullen","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Tim Blake Nelson","162655595","Alan Fenster","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Paz Vega","162660742","Coral Baca","","","","","","","","",""
"","","771362833","Rosewater","2014","R","103","","2014-11-14","2015-02-10","Certified Fresh","75","Upright","70","Rosewater is based on The New York Times best-selling memoir ""Then They Came for Me: A Family's Story of Love, Captivity, and Survival,"" written by Maziar Bahari. The film marks the directorial debut of ""The Daily Show"" host Jon Stewart, and stars Gael Garcia Bernal. Rosewater follows the Tehran-born Bahari, a broadcast journalist with Canadian citizenship. In June 2009, Bahari returned to Iran to interview Mir-Hossein Mousavi, who was the prime challenger to president Mahmoud Ahmadinejad. As Mousavi's supporters rose up to protest Ahmadinejad's victory declaration hours before the polls closed, Bahari endured personal risk by sending footage of the street riots to the BBC. Bahari was arrested by police, led by a man identifying himself only as ""Rosewater,"" who tortured and interrogated him over the next 118 days. With Bahari's wife leading an international campaign to have her husband freed, and Western media outlets keeping the story alive, Iranian authorities released Bahari on $300,000 bail and the promise he would act as a spy for the government. (C) Open Road Films","http://resizing.flixster.com/03RF4bY3laADJtR42rqA_TtSsAg=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189902_ori.jpg","http://resizing.flixster.com/03RF4bY3laADJtR42rqA_TtSsAg=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189902_ori.jpg","http://resizing.flixster.com/03RF4bY3laADJtR42rqA_TtSsAg=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189902_ori.jpg","http://resizing.flixster.com/03RF4bY3laADJtR42rqA_TtSsAg=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189902_ori.jpg","Gael Garcia Bernal","162684026","Maziar Bahari","2752688","http://api.rottentomatoes.com/api/public/v1.0/movies/771362833.json","http://www.rottentomatoes.com/m/rosewater/","http://api.rottentomatoes.com/api/public/v1.0/movies/771362833/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771362833/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771362833/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Kim Bodnia","341816679","Rosewater","","","","","","","","",""
